threshold,nb_raw,nb_recal,nb_all,raw_lo,raw_hi,recal_lo,recal_hi
0.05,0.7364612964540866,0.7330884184308842,0.7364488431539621,0.5624172991013244,0.8536826560055707,0.5580420735961675,0.849907380577972
0.1,0.7212688529126885,0.7186052303860523,0.7218071122180711,0.5371355965657796,0.8448891726891706,0.5382427232712657,0.8402378754428808
0.15,0.7028576661050473,0.7035074353527214,0.705442824701487,0.5072850093802788,0.8335979412406133,0.5181341392404339,0.8299274231752226
0.2,0.6843866749688667,0.6892434620174346,0.68703300124533,0.4799274326276569,0.8211776348072534,0.5005366104688321,0.8192464961372684
0.25,0.6629182233291823,0.6751971772519718,0.6661685346616854,0.44647339088729365,0.8055844457946157,0.4835144968339502,0.8092111427247208
0.3,0.640825475893969,0.6610087173100871,0.6423234299946629,0.4126545406380748,0.7918886079287591,0.46811515555330596,0.7973915159120689
0.35,0.6153146853146854,0.6455522559632149,0.61480984768656,0.3752609472291015,0.775873601484937,0.4521356154994452,0.7835477310636968
0.4,0.5864715649647156,0.6285554171855542,0.5827106683271066,0.3284580318285301,0.7576830509701018,0.4404799217247484,0.7683773183461104
0.45,0.5517762934450358,0.6094577153854862,0.5447752745386618,0.276102390797023,0.7295490547670921,0.42399819956566276,0.7506937149700746
0.5,0.510186799501868,0.5857409713574098,0.499252801992528,0.2197318863269175,0.7001142879468745,0.402193479730475,0.7286834036095138
0.55,0.4637387574373875,0.5577376504773764,0.4436142244361421,0.15088145642675652,0.6682361205635646,0.37753211348371996,0.7029720722846571
0.6,0.4088293897882939,0.5242403486924034,0.37406600249066,0.07484557716487113,0.6299094000441927,0.34028210441518986,0.6727581574209557
0.65,0.3475164561465931,0.4838302793097313,0.2846468599893256,0.020830172825363192,0.5716637633443742,0.3038504316414389,0.6409822431447164
0.7,0.2628684101286841,0.4391822332918224,0.16542133665421332,-0.09152406958093551,0.5063018247660748,0.26701772696137743,0.5988743073899914
0.75,0.15995018679950188,0.38108343711083437,-0.001494396014944055,-0.21453933327228655,0.4136341145389105,0.21691799946247342,0.5492599961292809
0.8,0.014956413449564044,0.2978331257783312,-0.2518679950186803,-0.40660940336155493,0.2847395794446724,0.13984854405010372,0.4759037001135434
0.85,-0.134557907845579,0.18472395184723955,-0.6691573266915732,-0.621111080478989,0.16933945616207316,0.04982307659899213,0.3545662862719203
0.9,-0.19296388542963894,0.056014943960149395,-1.5037359900373608,-0.6219250990158768,0.09703525643485866,-0.0572672643350174,0.21159832630268527
0.95,-0.18489414694894118,-0.1130635118306348,-4.007471980074716,-0.4061645990548522,0.012013056502405639,-0.18835681970597393,-0.007114457943244646
