bin_low,bin_high,count,mean_pred,frac_pos
0.0,0.1,45,0.08110562722081921,0.15555555555555556
0.1,0.2,124,0.14667985303379064,0.3709677419354839
0.2,0.30000000000000004,104,0.2446097752583095,0.4807692307692308
0.30000000000000004,0.4,77,0.349846579848735,0.6103896103896104
0.4,0.5,108,0.4503359429780754,0.7685185185185185
0.5,0.6000000000000001,117,0.5562633569279442,0.6837606837606838
0.6000000000000001,0.7000000000000001,320,0.6513880924162108,0.684375
0.7000000000000001,0.8,777,0.7569791844017286,0.7799227799227799
0.8,0.9,1655,0.8566041933350099,0.7842900302114804
0.9,1.0,1544,0.9384481471164816,0.8484455958549223
