threshold,nb_model,nb_treat_all,nb_treat_none
0.05,0.7568963468000734,0.7568855417130385,0.0
0.06,0.7543647378973254,0.7542992176887091,0.0
0.07,0.7511340984496792,0.7516572737928887,0.0
0.08,0.7483866360804405,0.7489578963341158,0.0
0.09,0.7456803102461078,0.7461991918982269,0.0
0.1,0.742808914436917,0.7433791829193184,0.0
0.11,0.7396354023699077,0.7404958029521197,0.0
0.12,0.7360631567160001,0.7375468916220301,0.0
0.13,0.7320383126030908,0.7345301892268811,0.0
0.14,0.7289224790287081,0.7314433309620774,0.0
0.15,0.725059475648194,0.7282838407381018,0.0
0.16,0.7203175254910011,0.7250491245564126,0.0
0.17,0.7169082818648851,0.7217364634064898,0.0
0.18,0.7133808353070186,0.7183430056431543,0.0
0.19,0.7099589153240012,0.7148657587992426,0.0
0.2,0.7063744610962841,0.7113015807842331,0.0
0.21,0.702028798702733,0.7076471704144134,0.0
0.22,0.698319199448331,0.7038990572145981,0.0
0.23,0.6935720817880539,0.7000535904251773,0.0
0.24,0.6892240867000184,0.6961069271412981,0.0
0.25,0.6851433654964757,0.692055019503182,0.0
0.26,0.6811410055097183,0.6878936008478196,0.0
0.27,0.6765762142734607,0.6836181707224473,0.0
0.28,0.672449189078218,0.679223978649148,0.0
0.29,0.6681798861326447,0.6747060065174458,0.0
0.3,0.6638707217643781,0.6700589494676951,0.0
0.31,0.6589695298111568,0.6652771951121543,0.0
0.32,0.6538577656478317,0.6603548009226272,0.0
0.33,0.6488538624880116,0.6552854695931142,0.0
0.34,0.6449923169282643,0.6500625221627069,0.0
0.35,0.6395938284667497,0.6446788686575178,0.0
0.36,0.6349055635393143,0.6391269759802914,0.0
0.37,0.6296904582677525,0.6333988327418834,0.0
0.38,0.6240687147767233,0.6274859106893331,0.0
0.39,0.6180102379085318,0.6213791223399778,0.0
0.4,0.6116471634845685,0.6150687743789776,0.0
0.41,0.6052736882761691,0.6085445163176042,0.0
0.42,0.5985459333564587,0.6017952838403215,0.0
0.43,0.5917658033402126,0.5948092361883974,0.0
0.44,0.5849781505704313,0.5875736868346187,0.0
0.45,0.577630130083425,0.5800750265952481,0.0
0.46,0.5704205539968217,0.572298638198864,0.0
0.47,0.5625825544326646,0.5642288011837482,0.0
0.48,0.5539693318383525,0.5558485858218971,0.0
0.49,0.5453363443509204,0.547139734563503,0.0
0.5,0.5364401560254567,0.538082529254773,0.0
0.51,0.5272646525249391,0.5286556420967071,0.0
0.52,0.5186306713200575,0.5188359679737218,0.0
0.53,0.510446105260399,0.508598435377418,0.0
0.54,0.5013790579561377,0.49791579266823144,0.0
0.55,0.49170829626588175,0.4867583658386366,0.0
0.56,0.4814579795076611,0.4750937832440601,0.0
0.57,0.4700290757353676,0.4628866619241545,0.0
0.58,0.4605390503563362,0.4500982491128248,0.0
0.59,0.4494294255198761,0.43668601128630835,0.0
0.6,0.43902689386162974,0.422603161568466,0.0
0.61,0.42613268480646826,0.4077981144291961,0.0
0.62,0.4137375876562685,0.392213854282596,0.0
0.63,0.401693419964822,0.3757872016956391,0.0
0.64,0.38944775200164217,0.3584479572982957,0.0
0.65,0.3778044989295244,0.34011789893538985,0.0
0.66,0.3639426618522586,0.3207096018452542,0.0
0.67,0.34780985797204206,0.3001250443254134,0.0
0.68,0.33199035105727753,0.2782539519605825,0.0
0.69,0.3128985900755622,0.2549718213786659,0.0
0.7,0.29480599466228674,0.23013754875795467,0.0
0.71,0.2781840449104125,0.20359056768064276,0.0
0.72,0.2577939408159071,0.17514737366923705,0.0
0.73,0.23556650471041735,0.14459727639772724,0.0
0.74,0.2121346114366024,0.11169717164379367,0.0
0.75,0.19338944775200106,0.07616505850954536,0.0
0.76,0.16608499281461658,0.037671935947443,0.0
0.77,0.13965528014067224,-0.0041684146635379005,0.0
0.78,0.1165151826207047,-0.04981243351188003,0.0
0.79,0.08422050815809745,-0.0998035017743506,0.0
0.8,0.050092383494148573,-0.1547936768630681,0.0
0.81,0.016877545948632,-0.21557229143480883,0.0
0.82,-0.02230890303154781,-0.28310408540340926,0.0
0.83,-0.056480732305240644,-0.35858079630949247,0.0
0.84,-0.0835557380414706,-0.4434920960788358,0.0
0.85,-0.10148497912817445,-0.539724902484092,0.0
0.86,-0.1294835322755677,-0.6497052526615272,0.0
0.87,-0.1385594491732871,-0.7766056567124142,0.0
0.88,-0.1413809621569846,-0.9246561281051158,0.0
0.89,-0.14533136746234782,-1.0996248670237632,0.0
0.9,-0.1634161363169792,-1.3095873537261402,0.0
0.91,-0.19391409475581237,-1.5662081708068236,0.0
0.92,-0.19790597413262306,-1.8869841921576775,0.0
0.93,-0.1744728275214837,-2.299410505323057,0.0
0.94,-0.16273181413809706,-2.8493122562102355,0.0
0.95,-0.161157873126669,-3.619174707452286,0.0
